ID,Name,Station,FirstCategory,SecondCategory,TotalRating
1,Orudeidainingurajou  ,Kyoto,Buffet style,Cafe,3.39
2,Steak Frites Gaspard zinzin  ,Karasuma,Bistro,Steak,3.18
3,KAZUMA  ,Sanjo,Izakaya (Tavern),Japanese food (other),3.28
4,okonomiyakiteppanyakimiki  ,Tambaguchi,Okonomiyaki,Izakaya (Tavern),3.14
5,Shaofeiyan  ,Kyoto Shiyakusho Mae,Chinese hot pot / fire pot,Chinese,3.16
6,okuta-va  ,Kyoto,Bar,Italian,3.08
7,Resort dining&bar HaLe  ,Sanjo,Italian,Bar,3.04
8,Sumika  ,Kawaramachi,Izakaya (Tavern),Creative cuisine,3.34
9,Gayagaya  ,Sanjo,Izakaya (Tavern),Bar,3.03
10,Ishibekoujimamecha  ,Gion Shijo,Izakaya (Tavern),Kyoto Cuisine,3.56
11,nagoyako-chintokoshitsuizakayatorisai  ,Sanjo,Izakaya (Tavern),Japanese food (other),3.04
12,Gionabesu  ,Gion Shijo,French,Italian,3.58
13,nishikimachinoakarishoutengai  ,Karasuma,Izakaya (Tavern),Bar,3
14,gionni-yongo  ,Sanjo Keihan,Italian,French,3.85
15,Mumon  ,Karasuma Oike,Shabu Shabu (Japanese Steamboat),Fugu (Blowfish),3.05
16,itariandainingutoreotto  ,Saiin,Italian,Dining bar,3.04
17,Sukiyakisunibiizakayahokuto  ,Kyoto,Sukiyaki,Yakitori (Grilled chicken),3.09
18,Sakaean  ,Karasuma,Izakaya (Tavern),Nihonshu (Japanese sake),3.09
19,biakicchinnikubarujikabiyajikabiya  ,Kawaramachi,Bar,Izakaya (Tavern),3.06
20,ANAGOYA NORESORE  ,Nijojo Mae,Izakaya (Tavern),Seafood,3.5
21,bejo-tamucho  ,Shijo,Spain,Izakaya (Tavern),3.16
22,TENTATION  ,Sanjo,Bistro,Italian,3.06
23,Izakayariraku  ,Karasuma,Yakitori (Grilled chicken),Fowl,3.03
24,kyoutohyouto  ,Karasuma,Pork Shabu Shabu,Shabu Shabu (Japanese Steamboat),3.64
25,Robatayagaburi  ,Karasuma,Izakaya (Tavern),Seafood,3.09
26,Kushiyachouemon  ,Karasuma,Izakaya (Tavern),Yakitori (Grilled chicken),3.03
